category,target,pool,grain_size,window_size,stride,hop,augmentation,mfcc_l2,fad
percussion,amen_mono_24k.wav,tabla.wav,1,1,1,1,none,384.1314,285.5038
percussion,amen_mono_24k.wav,trap.mp3,1,1,1,1,none,143.6328,245.9956
percussion,amen_mono_24k.wav,tribal.wav,1,1,1,1,none,155.7943,107.0747
percussion,tabla.wav,amen_mono_24k.wav,1,1,1,1,none,249.5084,399.9815
percussion,tabla.wav,trap.mp3,1,1,1,1,none,269.4859,625.5609
percussion,tabla.wav,tribal.wav,1,1,1,1,none,200.6743,199.1528
percussion,trap.mp3,amen_mono_24k.wav,1,1,1,1,none,82.9148,80.9564
percussion,trap.mp3,tabla.wav,1,1,1,1,none,168.1988,62.3614
percussion,trap.mp3,tribal.wav,1,1,1,1,none,45.7175,41.7750
percussion,tribal.wav,amen_mono_24k.wav,1,1,1,1,none,112.4257,114.1447
percussion,tribal.wav,tabla.wav,1,1,1,1,none,241.4884,102.7275
percussion,tribal.wav,trap.mp3,1,1,1,1,none,75.8037,220.9672
percussion,amen_mono_24k.wav,tabla.wav,1,1,1,1,augmented,403.2576,328.6330
percussion,amen_mono_24k.wav,trap.mp3,1,1,1,1,augmented,152.8951,252.5762
percussion,amen_mono_24k.wav,tribal.wav,1,1,1,1,augmented,173.3819,125.4684
percussion,tabla.wav,amen_mono_24k.wav,1,1,1,1,augmented,290.6274,470.6830
percussion,tabla.wav,trap.mp3,1,1,1,1,augmented,286.1608,573.9268
percussion,tabla.wav,tribal.wav,1,1,1,1,augmented,235.0036,248.9931
percussion,trap.mp3,amen_mono_24k.wav,1,1,1,1,augmented,99.6663,111.0943
percussion,trap.mp3,tabla.wav,1,1,1,1,augmented,205.7583,97.6049
percussion,trap.mp3,tribal.wav,1,1,1,1,augmented,54.5290,72.2806
percussion,tribal.wav,amen_mono_24k.wav,1,1,1,1,augmented,143.7218,133.3225
percussion,tribal.wav,tabla.wav,1,1,1,1,augmented,257.7794,139.7978
percussion,tribal.wav,trap.mp3,1,1,1,1,augmented,77.2752,194.5204
percussion,amen_mono_24k.wav,tabla.wav,1,1,1,2,none,360.1878,275.4148
percussion,amen_mono_24k.wav,trap.mp3,1,1,1,2,none,150.4953,253.2398
percussion,amen_mono_24k.wav,tribal.wav,1,1,1,2,none,151.5802,106.9764
percussion,tabla.wav,amen_mono_24k.wav,1,1,1,2,none,268.6717,447.2056
percussion,tabla.wav,trap.mp3,1,1,1,2,none,264.6837,618.5372
percussion,tabla.wav,tribal.wav,1,1,1,2,none,177.5590,181.0877
